지역,업소명,사업자명(대표자),소재지,총면적(제곱미터) ,홀수(홀),세부종류
경기,이스트밸리컨트리클럽,청남관광(노선우),광주시 곤지암읍 건업리 4-43,1543334,27,회원제
경기,그린힐컨트리클럽,신안개발㈜(박훈),광주시 곤지암읍 내선길 176,862228,18,회원제
경기,강남300컨트리클럽,자인관광 주식회사(김한별),광주시 새말길 353(목동),830063,18,회원제
경기,큐로CC,경기관광 주식회사(김일준),광주시 곤지암읍 오항길 180,1359581,27,대중제
경기,곤지암GC,주식회사 디앤오(이동언),광주시 도척면 도척윗로 280,1038998,18,회원제
경기,중부컨트리클럽,애경중부컨트리클럽(송병호),광주시 곤지암읍 경충대로 451,1094718,18,회원제
경기,뉴서울컨트리클럽,한국문화예술위원회(박종관),광주시 삼지곡길 95(삼동),2548234,36,회원제
경기,삼성물산(주)안양컨트리클럽,삼성물산(주)안양컨트리클럽(한승환),군포시 군포로364(부곡동),878287,18,회원제
경기,㈜캐슬렉스서울 캐슬렉스골프클럽,㈜캐슬렉스서울(이성무),하남시 감이로 317(감이동),1756532,18,회원제
경기,로얄개발㈜ 레이크우드 골프장,최태영,양주시 만송로 244,1402074,27,회원제
경기,레이크우드 골프장,최태영,양주시 만송로 244,350029,9,대중제
경기,송추cc,나승준,양주시 광적면 쇠장이길 435,1401965,18,회원제
경기,에이치원클럽,호반써밋㈜(이정호),이천시 호법면 장자터로 115,1097458,18,회원제
경기,뉴스프링빌C.C.,㈜동승골프앤리조트(양병덕),이천시 모가면 사실로 527번길 158,1584094,36,회원제
경기,뉴스프링빌C.C.,㈜동승골프앤리조트(양병덕),이천시 모가면 사실로 527번길 158,341179,9,대중제
경기,비에이비스타C.C.,㈜삼풍관광(최철종),이천시 모가면 어농로 272,1580588,36,회원제
경기,비에이비스타C.C.,㈜삼풍관광(최철종),이천시 모가면 어농로 272,476296,18,대중제
경기,더반G.C.,㈜명문투자개발(우석민),이천시 대월면 대월로 627-141,299311,9,대중제
경기,사우스스프링스C.C.,㈜사우스스프링스(장수진),이천시 모가면 공원로 64,975509,18,대중제
경기,블랙스톤리조트이천,㈜블랙스톤리조트 이천(원기룡),이천시 장호원읍 장여로 459-160,874136,18,회원제
경기,블랙스톤리조트이천,㈜블랙스톤리조트 이천(원기룡),이천시 장호원읍 장여로 459-160,487424,9,대중제
경기,실크밸리G.C.,㈜이천 실크밸리(양정자),이천시 율면 임오산로 200번길 56-222,1379636,27,대중제
경기,이천마이다스골프앤리조트,(주)대교디앤에스(최득희),이천시 설성면 설가로 602,1386077,27,대중제
경기,웰링턴C.C.,효성중공업㈜ 웰링턴컨트리클럽(김동우),이천시 모가면 사실로 725번길 119-73,1467443,27,회원제
경기,더크로스비골프클럽,주식회사 호법포레(김한룡),이천시 호법면 중부대로798번길 177,1062819,27,대중제
경기,파인크리크C.C,㈜동양레저(강  선),안성시 양성면 안성맞춤대로 2417-13,1537924,27,대중제
경기,골프클럽Q,골프클럽큐레저(전상필),안성시 죽산면 장계길 20-229,1001876,18,대중제
경기,골프존카운티 안성H,㈜골프존카운티(서상현),안성시 보개면 보삼로 302,1106490,18,대중제
경기,마에스트로 CC,천원종합개발㈜(이성욱),안성시 양성면 안성맞춤대로 2134-36,919620,18,대중제
경기,안성컨트리클럽,㈜한일(한수일),안성시 죽산면 장계길 134,1088870,18,회원제
경기,안성베네스트G.C,삼성물산㈜(한승환),안성시 금광면 삼흥로 660,1767153,27,회원제
경기,신안컨트리클럽,신안종합레져㈜(박  훈),안성시 고삼면 개울말길 149,1102867,18,회원제
경기,윈체스트 골프클럽 대중,㈜다림개발(경지은),안성시 서운면 오촌길 97-31,826514,18,대중제
경기,루나힐스 안성컨트리클럽,블루원레저㈜(정영채),안성시 양성면 약산길 67-6,1189332,18,대중제
경기,신안 퍼블릭 CC,신안종합레져㈜(박  훈),안성시 고삼면 개울말길 149,297073,9,대중제
경기,안성베네스트골프클럽 일반대중홀,삼성물산㈜(한승환),안성시 금광면 삼흥로 660,505924,9,대중제
경기,골프존카운티 안성W,㈜골프존카운티(서상현),안성시 양성면 교동길 19-70,565751,9,대중제
경기,한림안성,일송개발㈜(이병진),안성시 양성면 양성로 349-61,240013,9,대중제
경기,에덴블루 컨트리클럽,죽산개발㈜(오승현),안성시 죽산면 장능리 산160,1238246,27,대중제
경기,필로스골프클럽,㈜선운(이성용),포천시 일동면 운악청계로 1507/ 포천시 일동면 기산리 (산) 142-1,1519198,27,대중제
경기,포천아도니스 C.C,㈜아도니스(정성경),포천시 신북면 포천로 2499/신북면 고일리(산) 59,1538257,27,회원제
경기,포천아도니스 C.C,㈜아도니스(정성경),포천시 신북면 포천로 2499,318701,9,대중제
경기,베어크리크골프클럽,㈜삼보개발(류경호),포천시 화현면 달인동로 35,2252583,36,대중제
경기,몽베르컨트리클럽,㈜동강홀딩스(김상국)㈜스마트홀딩스(김봉성),포천시 영북면 산정호수로 359-12,1209665,18,회원제
경기,몽베르컨트리클럽,㈜동강홀딩스(김상국)㈜스마트홀딩스(김봉성),포천시 영북면 산정호수로 359-13,1492261,18,대중제
경기,일동레이크 골프클럽,㈜농심개발(정철수),포천시 일동면 화동로 738/일동면 유동리 21-2,1154046,27,회원제
경기,일동레이크골프클럽,㈜농심개발(정철수),포천시 일동면 화동로 738,389684,9,대중제
경기,푸른솔 골프클럽포천,㈜유진로텍(조일구),포천시 가산면 금우로276,1415138,27,대중제
경기,포천힐스컨트리클럽,㈜한경엘앤디(정구학),포천시 군내면 반월산성로 375번길 34,1484312,27,대중제
경기,포레스트힐 C.C,㈜화현개발(홍승범),포천시 화현면 명덕리 178-1번지,1457261,24,대중제
경기,참밸리 컨트리클럽,㈜참빛글로벌이앤씨(이한일외 2),포천시 삼육사로 1978 / 설운동 603번지 일원,1085944,18,대중제
경기,샴발라 컨트리클럽,㈜샴발라(이완국),포천시 군내면 직두리 산1-1번지 일원,851634,18,대중제
경기,라싸 골프클럽,라싸디벨로프먼트(양창모),포천시 이동면 산142-1번지 일원,1504498,27,대중제
경기,더스타휴 컨트리클럽,"(주)한창산업개발(최인욱, 조한창)",양평군 양동면 양동로 756,1107410,1,회원제
경기,양평 TPC 골프장,(주)대지개발,양평군 지평면 대평평장길 133-8,1901420,1,대중제
경기,여주, I.G.M ㈜(이완재),여주시 월평로 78(여주읍 월송리 35-10),1214791,27,회원제
경기,남여주,남여주레저개발㈜(강봉석),여주시 가여로 532(여주읍 하거리 산49),1160743,27,대중제
경기,소피아그린,더케이소피아그린㈜(김용덕),여주시 점동면 소피아그린길 84(점동면 현수리 산13),1438632,27,대중제
경기,솔모로, (주)한일레저(김정억),여주시 가남읍 솔모로그린길 171(가남면 양귀리 산69),1924173,36,회원제
경기,금강, (주)금강레저(안경근),여주시 가남읍 여주남로 541(가남면 본두리 1-2),890860,18,회원제
경기,금강, (주)금강레저(안경근),여주시 가남읍 여주남로 541(가남면 본두리 1-2),359346,9,대중제
경기,자유, 신세계건설㈜(윤명규),여주시 가남읍 자유그린길 69(가남면 삼군리 산44외),2057832,36,회원제
경기,빅토리아, ㈜에스비레져(원용석),여주시 가남읍 송삼로 191(가남면 송림리 214),264176,9,대중제
경기,아리지," ㈜아리지(김양원, 곽준상)","여주시 가남읍 아리지그린길 68(가남면 안금리 산103, 양귀리 산10 일원)",1229038,27,대중제
경기,이포, 보광개발㈜(김성원),여주시 금사면 장흥로 416(금사면 장흥리 산1),1026137,18,회원제
